id,sexo,edad,ent,p1_riesgo,p2_riesgo,p3_riesgo,p4_riesgo,p5_ansiedad,p6_ansiedad,p7_sintomas,p8_sintomas,p9_sintomas,p10_sintomas,p11_sintomas,p12a_sintomas,p12b_sintomas,p12c_sintomas,p12d_sintomas,p12e_sintomas,p12f_sintomas,p13_sintomas,p14_sintomas,p15_cuarentena,p16_cuarentena,p17_economia,p18_economia,p19_economia,p20_economia,p21_economia,p22_economia,p23_economia,p24_economia,p25_economia,p26_economia,p27_economia,p28_economia,p29_economia,p29a_economia,p30_economia,p31_economia,p32_economia,p32a_economia,p33_economia,p34_economia,p35_cuarentena,p36_cuarentena,p37_expectativas,p38_expectativas,p39_expectativas,p40_depresion,p41_depresion,p42_depresion,p43_depresion,p44_depresion,p45_depresion,p46_depresion,p47_alimentacion,p48_alimentacion,p49_alimentacion,p50_alimentacion,p51_alimentacion,p52_alimentacion,p53_alimentacion,p54_alimentacion,p55_socio,p56_socio,p57_socio,p58_socio,p60_socio,p60g_socio,p61_socio,p62_socio,p63_socio,p64_socio,p65_socio,p66_socio,p67_socio,p68_socio,nse,gpo_edad3,gpo_edad4,gpo_edad5,factor_i,factor_i_n,factor_h,factor_h_n,factor_i_pop,factor_i_pop_n,factor_h_pop,factor_h_pop_n
1,1,47,1,1,1,2,1,0,0,0,,,,,,,,,,,,,1,,0,0,0,0,998,5,0,998,5,0,60000,1,1,5312,1,0,,,,,,,5,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,5,3,1,1,0,1,0,,999999,3,3,3,3,4,52426.38465238606,.63392133,22286.727,.59667683,52426.3846524227,.63392133,19502.732,.59667689
2,0,42,11,2,2,1,8,1,1,0,,,,,,,,,,,,,1,,0,0,0,0,998,3,0,998,3,1,99998,1,1,3115,1,0,,,,,,,4,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,6,6,1,3,1,1,0,,20000,,5,2,3,3,104434.3282743319,1.2627829,46934.574,1.2565674,104434.3282744049,1.2627829,41071.641,1.2565675
3,1,23,1,2,2,1,8,1,0,1,3,0,,1,,,,,,0,0,,1,,-1,-60,1,1,50,1,0,998,3,0,3000,0,,,,,2,9521,0,0,0,10,1,1,1,1,0,1,1,3,0,0,0,0,1,0,0,1,0,0,4,0,1,1,3,6,1,3,1,0,2,,9000,,3,1,1,1,52177.22415728933,.63090855,22180.807,.59384108,52177.2241573258,.63090855,19410.043,.59384114
4,1,38,24,3,3,2,10,3,1,1,1,0,,1,,,,,,0,0,,0,21,-1,-60,1,0,100,1,1,100,1,0,99999,0,,,,,9,.a,,,,,1,1,1,2,0,1,1,2,2,1,1,1,1,1,1,1,0,0,5,1,0,0,4,3,1,2,1,0,0,,999999,1,2,2,3,3,70567.32560867464,.85327512,33136.07,.88714355,70567.32560872397,.85327512,28996.807,.88714361
5,0,32,11,2,2,2,8,1,1,0,,,,,,,,,,,,,9,,-1,-40,1,3,30,1,1,999,1,1,99998,1,1,2639,1,0,,,,,,,2,2,1,1,1,0,0,0,2,0,1,0,1,1,0,1,0,0,7,0,3,0,6,4,1,3,1,1,3,,999999,2,6,2,2,2,78189.60760777333,.94544107,35139.746,.94078743,78189.60760782799,.94544107,30750.189,.94078755
6,0,27,1,2,2,1,7,0,0,1,2,0,,0,1,0,1,0,0,1,0,,0,15,-1,-35,0,0,998,4,1,999,1,0,20000,0,,,,,4,7211,0,0,0,10,2,2,2,0,2,0,3,2,0,0,0,0,0,0,0,0,0,0,6,0,0,0,5,3,5,5,5,1,6,,999999,5,6,1,2,2,67133.29155298858,.81175202,28538.709,.76405954,67133.29155303552,.81175202,24973.734,.7640596
7,0,60,1,2,2,2,6,0,0,0,,,,,,,,,,,,,1,,-1,-30,1,0,20,1,0,998,3,9,,1,2,4999,0,1,,,,,,,2,2,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,1,5,4,1,2,1,1,0,,4500,,4,3,4,5,67117.47946809749,.81156081,28531.986,.76387954,67117.4794681444,.81156081,24967.852,.76387966
274,0,26,19,3,2,1,9,0,0,0,,,,,,,,,,,,,1,,0,0,0,0,998,4,0,998,3,1,99998,1,1,2391,0,1,,,,,,,2,2,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,6,8,3,3,1,1,2,2,999999,9,6,1,2,2,99594.783365852,1.2042649,42113.641,1.1274977,99594.7833659216,1.2042649,36852.922,1.1274978
275,0,56,19,1,1,1,10,0,0,0,,,,,,,,,,,,,1,,-1,-40,0,0,998,5,0,998,2,9,,1,1,4222,0,0,,,,,,,1,1,1,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,7,0,0,0,6,5,2,3,4,1,3,5,40000,,7,3,4,4,73471.19529300132,.88838774,31067.283,.83175641,73471.19529305267,.88838774,27186.447,.83175653
8,0,34,24,2,2,2,5,1,1,0,,,,,,,,,,,,,1,,-1,-40,0,0,998,5,1,50,1,1,99998,1,1,4111,0,0,,,,,,,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,1,6,5,2,3,1,1,1,,999999,9,6,2,2,2,77423.15167354724,.93617338,36355.34,.97333217,77423.15167360134,.93617338,31813.934,.97333229
276,0,51,19,2,2,1,10,3,3,0,,,,,,,,,,,,,1,,1,20,0,0,998,4,0,998,4,1,99998,1,1,4211,0,0,,,,,,,1,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,6,4,2,3,1,1,0,1,999999,,6,3,4,4,76901.20239405829,.92986214,32517.662,.87058705,76901.20239411204,.92986214,28455.648,.87058711
9,0,39,1,3,3,2,5,1,0,0,,,,,,,,,,,,,1,,-1,-10,0,0,998,5,1,50,1,1,99998,1,1,3232,1,1,,,,,,,2,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,5,3,1,2,1,1,2,,15000,,5,2,3,3,77923.29946471423,.94222099,33125.598,.88686311,77923.2994647687,.94222099,28987.641,.88686323
10,1,56,11,2,2,1,10,1,2,0,,,,,,,,,,,,,0,10,1,30,1,1,50,1,0,998,2,0,4400,1,1,9621,1,0,,,,,,,2,2,2,2,1,2,2,1,2,2,1,0,1,1,0,1,0,0,3,0,0,0,5,6,2,2,0,0,3,,10000,,4,3,4,4,83345.99349990806,1.0077903,37457.113,1.0028298,83345.99349996631,1.0077903,32778.078,1.0028299
11,0,60,1,4,4,2,7,0,0,0,,,,,,,,,,,,,1,,-1,-40,0,0,998,5,1,40,1,1,99998,1,6,.a,8,8,,,,,,,2,2,1,1,1,0,2,1,0,0,0,0,0,0,0,0,1,0,4,0,0,0,6,8,2,4,1,1,1,,999999,9,5,3,4,5,69235.48268040265,.83717096,29432.361,.78798503,69235.48268045105,.83717096,25755.754,.78798515
277,0,23,19,1,1,3,5,0,1,0,,,,,,,,,,,,,1,,0,0,0,0,998,2,0,998,2,1,99998,0,,,,,1,5211,9,9,,9,2,1,2,0,1,0,0,2,3,0,0,0,1,1,1,1,0,0,2,0,0,0,5,3,1,2,0,1,2,2,999999,2,4,1,1,1,128954.870505565,1.5592767,54528.547,1.4598788,128954.8705056552,1.5592767,47716.996,1.459879
12,1,29,11,2,2,1,10,3,3,1,1,0,,0,0,0,1,0,0,0,0,,0,22,-1,-100,1,1,100,1,0,998,2,0,8800,1,1,5116,1,0,,,,,,,2,2,2,3,2,2,2,3,2,3,1,1,1,1,1,1,1,1,12,3,2,0,4,3,1,4,1,1,3,,12000,,4,1,2,2,82949.88514449773,1.0030007,37279.098,.99806374,82949.88514455572,1.0030007,32622.299,.99806386
